#{"t_start": 1772661605.4721558, "env_id": "None"}
r,l,t
2.7922225,10,28.782404
3.09503,10,28.878356
3.5543253,10,28.967533
2.876877,10,29.054873
3.1132684,10,29.142891
2.421935,10,29.224768
3.3736858,10,29.297191
2.8991406,10,29.46589
2.9981394,10,29.631041
2.4684393,10,29.759074
3.1823595,10,29.909923
3.0581918,10,30.043906
3.5193665,10,30.314895
3.2549713,10,30.654248
3.778023,10,30.822083
2.2260342,10,30.974784
3.236695,10,31.104472
2.992013,10,31.226666
2.749434,10,31.333867
2.912725,10,31.470946
3.307271,10,31.604868
3.4353335,10,31.761275
3.9808822,10,31.975068
2.4068947,10,32.086594
2.206997,10,32.230443
3.0254269,10,32.359118
2.556753,10,32.459023
3.5382257,10,32.556527
1.5261517,10,32.664194
3.0306203,10,32.766637
2.9385958,10,32.870345
3.6349015,10,32.962374
2.4153736,10,33.057427
3.7151096,10,33.132706
3.3895552,10,33.222402
3.1547008,10,33.313276
3.5971613,10,33.46736
1.660095,10,33.574509
3.3781621,10,33.682996
2.9114866,10,33.803359
2.9106834,10,33.907702
3.5087013,10,34.023328
3.214457,10,34.122197
3.596222,10,34.226032
2.7114565,10,34.339195
2.2068756,10,34.465462
2.6784375,10,34.553749
2.4420884,10,34.628309
3.3206055,10,34.737939
3.3794258,10,34.824305
3.6219487,10,34.890999
2.969613,10,34.975088
3.5422964,10,35.065114
2.9578032,10,35.161382
3.4982653,10,35.253523
2.784396,10,35.350978
3.220213,10,35.453618
3.3224273,10,35.528393
2.4688683,10,35.608353
4.1048727,10,35.691741
3.2609534,10,35.770316
2.8507764,10,35.850629
3.5364118,10,35.93992
3.0173905,10,36.019347
2.0970094,10,36.095852
3.2236,10,36.175788
3.3324854,10,36.253125
2.7218416,10,36.319838
3.571134,10,36.396798
3.858998,10,36.468185
3.5690155,10,36.545338
3.0500698,10,36.624591
2.9746494,10,36.708675
3.3512964,10,36.866015
2.2319353,10,36.980873
3.42377,10,37.085323
2.4057224,10,37.230218
3.807585,10,37.345044
