#{"t_start": 1772661767.848299, "env_id": "None"}
r,l,t
3.3762286,10,27.169255
2.6721601,10,27.23576
3.7468348,10,27.300701
3.504615,10,27.367913
3.9731436,10,27.437267
3.3852506,10,27.488897
2.48792,10,27.543815
3.8251867,10,27.590486
3.750802,10,27.646725
2.715776,10,27.69565
2.7316089,10,27.750127
3.5214524,10,27.798491
2.2762883,10,27.85252
3.9663606,10,27.908962
3.2450416,10,27.981446
3.8219676,10,28.051382
4.0555983,10,28.115028
3.195966,10,28.196849
2.465488,10,28.25647
1.8962238,10,28.316162
2.1178553,10,28.369396
2.7672076,10,28.420345
4.246542,10,28.470332
4.091486,10,28.521065
3.6729689,10,28.574584
2.6055324,10,28.625132
3.5898623,10,28.669787
3.4581382,10,28.72561
3.3969798,10,28.772637
3.5552995,10,28.825948
3.132225,10,28.87248
2.7124732,10,28.991834
2.849068,10,29.043501
2.8147314,10,29.091031
2.9709973,10,29.143557
3.0973392,10,29.191269
3.077372,10,29.242072
3.4833026,10,29.287991
1.7966349,10,29.335856
3.1731284,10,29.383688
2.0731127,10,29.427356
3.887525,10,29.478406
1.9099891,10,29.524596
3.457311,10,29.583372
2.8947637,10,29.646625
3.2491002,10,29.723005
3.0964286,10,29.789446
2.3332102,10,29.859717
4.045365,10,29.933934
2.8647768,10,29.997641
3.3837512,10,30.051153
3.236373,10,30.115024
3.4867303,10,30.175828
3.581646,10,30.240354
3.133469,10,30.295102
1.8699468,10,30.358578
2.7267022,10,30.419309
3.62725,10,30.485574
2.9025986,10,30.550925
3.5921621,10,30.610033
2.8161595,10,30.674792
3.7854028,10,30.732236
3.3520656,10,30.794515
2.7975347,10,30.853953
3.0044632,10,30.918307
2.6923041,10,30.982375
3.1880443,10,31.045208
3.0677876,10,31.127848
3.5899856,10,31.277034
3.354131,10,31.359113
3.594642,10,31.451931
2.7083244,10,31.554862
2.7504594,10,31.656431
3.3872352,10,31.750689
2.588105,10,31.839619
2.4944944,10,31.928326
3.1895635,10,32.014041
2.677396,10,32.361134
3.2708318,10,32.708259
3.1077917,10,32.949518
2.9729235,10,33.225113
3.8219862,10,33.490362
1.9194449,10,34.034438
2.6486015,10,34.249447
2.8752882,10,34.433274
3.9115393,10,34.604116
3.3152106,10,34.983908
3.2133255,10,35.233665
3.7091527,10,35.40661
3.34273,10,35.534729
2.9754956,10,35.699964
2.8348637,10,35.888127
2.6787186,10,35.988768
3.9810078,10,36.09856
2.3456914,10,36.183373
3.4283242,10,36.256687
3.37778,10,36.344358
2.845109,10,36.423247
3.0647023,10,36.51168
3.3660684,10,36.589002
2.4380465,10,36.676188
2.99229,10,36.758964
3.321032,10,36.824679
3.1054816,10,36.894362
3.2879703,10,36.979894
2.7819781,10,37.067677
2.1525872,10,37.134967
3.0466845,10,37.206463
3.624442,10,37.275148
3.6286175,10,37.339592
3.0623503,10,37.410706
3.4940755,10,37.48366
2.922877,10,37.55764
2.9544964,10,37.627465
2.6232457,10,37.698114
2.8324068,10,37.768393
3.8333461,10,37.845809
2.2905169,10,37.991638
3.447322,10,38.094574
3.1826735,10,38.166368
3.41275,10,38.239446
3.5307763,10,38.304463
3.8279035,10,38.376048
2.3527367,10,38.4362
2.0188513,10,38.493817
3.31865,10,38.548585
3.2334027,10,38.601741
3.0029752,10,38.650333
3.7781494,10,38.703719
3.090438,10,38.752906
4.013402,10,38.80411
2.2690096,10,38.85835
2.8313887,10,38.923934
3.7328525,10,38.979642
3.1233404,10,39.036198
2.5633838,10,39.085332
3.3099291,10,39.141255
3.264073,10,39.194273
3.7539954,10,39.257938
3.64848,10,39.307729
3.2413158,10,39.360917
3.317752,10,39.413018
2.6176112,10,39.47303
3.3839214,10,39.53473
3.0648932,10,39.597682
3.6295502,10,39.664116
4.084794,10,39.718711
3.004598,10,39.781981
3.673289,10,39.840826
2.52434,10,39.915765
2.9797697,10,40.003044
3.5221188,10,40.107981
2.882533,10,40.376662
3.2622635,10,40.45429
3.330393,10,40.525275
2.5082161,10,40.601687
3.6703763,10,40.650455
2.6464052,10,40.704294
3.0063457,10,40.754197
1.4992312,10,40.830169
2.493625,10,40.916636
3.4385526,10,40.995705
3.2687504,10,42.810261
3.4217477,10,42.906561
3.4306936,10,43.010852
3.7017543,10,43.110382
3.5577424,10,43.209647
2.747818,10,43.29183
2.8019724,10,43.386497
1.786674,10,43.474895
3.962712,10,43.56119
3.5434332,10,43.647274
3.494222,10,43.728646
3.0544016,10,43.809308
3.5198734,10,43.883448
3.2428124,10,43.984225
3.6237183,10,44.064063
3.2915025,10,44.155164
2.4755046,10,44.247
2.9901123,10,44.313151
3.6671295,10,44.385967
3.0885186,10,44.458313
3.116138,10,44.530351
2.7951875,10,44.594911
2.7449007,10,44.666193
2.988096,10,44.727088
3.2988627,10,44.801223
3.448594,10,44.861553
2.3714724,10,44.924943
3.5715892,10,44.986768
3.5107887,10,45.04882
2.9830787,10,45.127705
3.6662884,10,45.20091
3.6636248,10,45.271052
2.8507774,10,45.376078
3.3044152,10,45.454434
3.7064874,10,45.533589
3.303516,10,45.616359
2.9707265,10,45.705368
3.1333954,10,45.789245
2.7702894,10,45.865729
3.2562072,10,45.944693
3.3816826,10,46.019832
3.8632238,10,46.100768
3.5236151,10,46.200314
2.8711023,10,46.279049
4.039889,10,46.344003
3.385572,10,46.416912
4.2368774,10,46.471003
3.194923,10,46.532928
4.2167993,10,46.586949
3.6668034,10,46.648531
2.8468778,10,46.710794
3.309027,10,46.779998
3.018649,10,46.851044
3.0808525,10,46.901846
3.0363197,10,46.95515
3.1029267,10,47.013073
2.8695595,10,47.092737
4.4721823,10,47.167771
3.665455,10,47.240289
2.4087293,10,47.335028
3.3386827,10,47.426674
3.6792607,10,47.509259
3.7845368,10,47.585744
3.202636,10,47.64356
2.4705784,10,47.700929
3.2826753,10,47.774506
3.6724572,10,47.841655
3.598759,10,47.901792
3.523208,10,47.976115
2.6164558,10,48.042908
3.1174893,10,48.106067
3.8207479,10,48.170058
2.956877,10,48.227864
3.1496053,10,48.290304
3.2099802,10,48.348482
3.6391137,10,48.414388
3.8284717,10,48.477408
3.3831148,10,48.544117
2.7856083,10,48.607794
1.6271011,10,48.666752
2.6801805,10,48.735934
3.2543867,10,48.813911
3.1498094,10,48.887444
3.5177026,10,48.972011
2.336896,10,49.053628
2.6379752,10,49.1136
3.6877735,10,49.183948
2.1167793,10,49.253565
3.575236,10,49.321021
4.4215784,10,49.394953
2.8138409,10,49.47647
3.4234102,10,49.556867
3.6183107,10,49.634841
3.0246043,10,49.709039
3.3254812,10,49.774237
2.5609014,10,49.842785
2.9571583,10,49.901551
2.319223,10,49.969829
3.0412133,10,50.041473
2.834697,10,50.110398
3.3500104,10,50.201897
3.550206,10,50.281931
3.5454133,10,50.329396
3.489456,10,50.379701
3.9166758,10,50.42675
3.9108453,10,50.475081
3.4150484,10,50.520804
3.6404216,10,50.572399
3.7334623,10,50.621305
2.947852,10,50.667649
4.031757,10,50.721781
4.2397084,10,50.766152
3.0538166,10,50.815655
3.4833186,10,50.868366
2.3925009,10,50.94565
2.9885437,10,51.121083
3.174467,10,51.183721
3.84344,10,51.230458
3.2757204,10,51.281414
2.9912815,10,51.349042
3.825696,10,51.409911
3.5137167,10,51.487211
3.3389976,10,51.547763
4.2515297,10,51.618262
3.218749,10,51.672354
3.774853,10,51.747551
3.6551068,10,51.822798
3.2255337,10,51.895702
2.813331,10,51.971923
3.9272573,10,52.047769
2.9501772,10,52.120283
2.7886808,10,52.201994
3.3576436,10,52.27329
2.3492467,10,52.332592
3.9111288,10,52.394776
3.6527088,10,52.458875
3.3225298,10,52.518057
3.748405,10,52.641237
4.1738343,10,52.711649
3.7346501,10,52.855757
3.6390858,10,52.959221
3.290349,10,53.053832
2.9357314,10,53.198949
3.860148,10,53.33545
3.0227778,10,53.426833
3.2385838,10,53.517931
3.5866897,10,53.626257
3.1944077,10,53.724831
3.6396258,10,53.826416
2.257641,10,53.919563
3.557979,10,54.027632
2.2505727,10,54.246934
3.5583687,10,54.457215
3.3664157,10,54.595337
3.5115702,10,54.725777
4.399023,10,54.880378
